level_0,Symbols,Close,High,Low,Open,Volume
2022-05-06,AMZN,114.772,119.051,113.081,114.85,124259900.0
2022-05-06,GOOGL,115.746,117.571,114.016,115.184,39709580.0
2022-05-06,PFE,47.8586,48.0293,46.8827,46.9315,20382462.73657
2022-05-06,BNTX,134.877,139.958,132.351,139.453,1417457.4856382
2022-05-06,MRNA,134.4,140.6,131.0,139.7,7013011.0
2022-05-09,AMZN,108.789,114.0,107.957,111.312,128124380.0
2022-05-09,GOOGL,112.511,115.077,112.001,113.25,40802860.0
2022-05-09,PFE,47.4683,47.9855,46.6192,47.2145,25629787.710712
2022-05-09,BNTX,138.987,144.742,137.184,138.244,2553162.5941193
2022-05-09,MRNA,135.8,141.6526,131.78,132.79,9625849.0
2022-05-10,AMZN,108.859,112.642,107.171,111.25,105433820.0
2022-05-10,GOOGL,114.395,116.25,112.901,115.508,39900380.0
2022-05-10,PFE,48.2977,48.6979,47.5122,47.8586,28010686.335186
2022-05-10,BNTX,143.058,145.861,137.977,138.016,2281179.0111307
2022-05-10,MRNA,132.32,139.055,127.61,137.4,8180204.0
2022-05-11,AMZN,105.372,110.156,104.429,108.104,109703640.0
2022-05-11,GOOGL,113.602,116.364,113.236,113.236,37534740.0
2022-05-11,PFE,48.2587,49.0248,47.8488,47.8879,30432644.105109
2022-05-11,BNTX,142.791,153.805,140.701,141.206,2413714.9755851
2022-05-11,MRNA,123.43,134.91,122.7204,130.74,7409302.0
2022-05-12,AMZN,106.931,110.781,102.406,102.75,132025140.0
2022-05-12,GOOGL,112.844,114.295,109.824,111.378,53836180.0
2022-05-12,PFE,49.5771,49.6164,47.9341,48.2095,34017215.599747
2022-05-12,BNTX,156.499,156.618,141.404,141.78,2248514.7318285
2022-05-12,MRNA,130.17,132.937,119.01,120.6,7106650.0
2022-05-13,AMZN,113.055,113.184,107.8,109.069,93684560.0
2022-05-13,GOOGL,116.051,117.875,113.605,114.533,35038480.0
2022-05-13,PFE,49.1146,49.9706,48.8786,49.5673,22791361.186671
2022-05-13,BNTX,157.331,163.433,155.182,158.48,1739435.972226
2022-05-13,MRNA,137.91,141.65,132.31,132.31,6494735.0
2022-05-16,AMZN,110.81,113.992,110.354,113.1,74565740.0
2022-05-16,GOOGL,114.445,116.17,113.89,114.956,25990440.0
2022-05-16,PFE,49.8526,50.2264,49.0655,49.1048,19754245.646156
2022-05-16,BNTX,149.764,157.925,148.719,156.232,1278535.8635655
2022-05-16,MRNA,136.26,141.6,133.82,135.87,4535615.0
2022-05-17,AMZN,115.368,115.8,111.277,113.275,76447740.0
2022-05-17,GOOGL,116.473,116.9,114.87,116.84,23053160.0
2022-05-17,PFE,50.5118,50.6889,49.3705,50.1281,20244793.288748
2022-05-17,BNTX,158.282,159.679,152.082,153.141,1068507.7985326
2022-05-17,MRNA,142.28,143.89,136.09,137.52,5960695.0
